"Date","DXY","METALS","OIL","US_STK","INTL_STK","X13W_TB","X10Y_TBY","EURUSD","YEAR"
"5/23/2016",-0.000839314,-0.003979447,0.018219895,-0.00136249,-0.001670392,0.05033557,-0.005949162,0.001402821,"2016"
"5/24/2016",0.003570272,-0.058166817,0.019333608,0.012962206,0.010455745,0.095846645,0.011425462,-0.000505271,"2016"
"5/25/2016",-0.002301999,0.025951353,-0.001614205,0.00678321,0.010761654,-0.081632653,0.00591716,-0.006960567,"2016"
"5/26/2016",-0.001887782,-0.001337711,-0.003031528,0.000286588,0.002457054,-0.126984127,-0.02513369,0.001885442,"2016"
"5/27/2016",0.003677619,-0.033000474,0,0.004299376,-0.000408402,0.083636364,0.015359298,0.002966224,"2016"
"5/31/2016",0.003873555,0.014733635,-0.006486925,-0.001902672,-0.002452224,-0.05033557,-0.009184225,-0.00390187,"2016"
"6/1/2016",-0.004484305,-0.001737404,0.00326464,0.002049132,0.000409764,0.042402827,0.006543075,-0.001114061,"2016"
"6/2/2016",0.001047549,0.002610641,-0.011185682,0.003043762,0,-0.084745763,-0.018959913,0.004766532,"2016"
"6/3/2016",-0.016010873,0.104277691,0,-0.002986892,0.008599521,0,-0.059083379,-0.003312164,"2016"
"6/6/2016",-0.001382506,0.009544195,0.035787742,0.005088297,0.006902209,-0.074074074,0.011150235,0.017844333,"2016"
"6/7/2016",-0.000745474,-0.014236536,0.017275616,0.001561285,0.009677668,0.06,-0.005803831,0.001147036,"2016"
"6/8/2016",-0.002557881,0.033622973,-0.013078274,0.003259759,0.003593974,-0.113207547,-0.004086398,-0.000544702,"2016"
"6/9/2016",0.005449322,0.007968508,-0.029469937,-0.001365579,-0.010744285,0.021276596,-0.015240328,0.004334455,"2016"
"6/10/2016",0.005313496,-0.021117577,0,-0.009477484,-0.024537308,0,-0.024404762,-0.008067811,"2016"
"6/13/2016",-0.002431237,0.002102036,-0.011819849,-0.007711937,-0.015941913,0.020833333,-0.014032947,-0.006631003,"2016"
"6/14/2016",0.005934057,-0.022742382,-0.009898948,-0.001966558,-0.0127225,0.073469388,-0.003094059,0.004539146,"2016"
"6/15/2016",-0.003370894,0.044057853,-0.037492189,-0.001394332,0.006443175,-0.030418251,-0.009310987,-0.006908145,"2016"
"6/16/2016",-0.000422799,-0.0276996,0.038303398,0.002984447,-0.00170717,-0.039215686,-0.020050125,0.004426996,"2016"
"6/17/2016",-0.003806715,0.005341587,0,-0.003724277,0.007695725,0.012244898,0.034526854,-0.000945603,"2016"
"6/20/2016",-0.00636873,0.007527131,0.018132555,0.00644014,0.022910369,0,0.032138443,0.008625126,"2016"
"6/21/2016",0.004379831,-0.019446243,0.005731832,0.002838724,0.006636132,0.068548387,0.016167665,-0.002297988,"2016"
"6/22/2016",-0.003190768,0.018375339,0.019947079,-0.001631087,0.001648179,0.011320755,-0.007071302,-0.006390544,"2016"
"6/23/2016",-0.002027337,-0.005061052,-0.049291559,0.013022552,0.021801765,0.026119403,0.032047478,0.006899175,"2016"
"6/24/2016",0.020528152,0.036160533,0,-0.035909121,-0.070853549,-0.134545455,-0.092006901,-0.000374286,"2016"
"6/27/2016",0.011419634,0.00384206,0.00440806,-0.017909974,-0.021663514,-0.012605042,-0.075364155,-0.025438008,"2016"
"6/28/2016",-0.003003947,-0.008398905,0.042424242,0.018036117,0.025243416,0.106382979,0.000684932,-0.001894719,"2016"
"6/29/2016",-0.004987044,0.027125615,-0.031074579,0.017027445,0.018574436,-0.019230769,0.010951403,0.005349055,"2016"
"6/30/2016",0.003863444,0.019206638,0.013656114,0.013645794,0.013146688,-0.02745098,0.007447529,0.004885339,"2016"
"7/1/2016",-0.005096703,0.049774693,0,0.002100286,0.003348791,-0.02016129,-0.021505376,-0.001976986,"2016"
"7/5/2016",0.005436445,0.009463424,-0.031843233,-0.007193196,-0.017521922,-0.020576132,-0.061126374,0.00360074,"2016"
"7/6/2016",-0.001143808,0.032763119,-0.048281678,0.005997742,-0.002547927,0.105042017,0.01316752,-0.007269847,"2016"
"7/7/2016",0.002810785,-0.028261323,0.005981391,-0.000619988,-0.00170281,0.02661597,0.001444043,0.003074557,"2016"
"7/8/2016",-0.000311419,0.03226123,0,0.014890437,0.012366689,0.011111111,-0.015140591,-0.002999361,"2016"
"7/11/2016",0.002803707,0.009422474,0.030609998,0.003527005,0.013900889,0.007326007,0.049780381,-0.001965526,"2016"
"7/12/2016",-0.001346153,-0.027633993,-0.043803419,0.007263476,0.012463598,0.072727273,0.055090656,0.00127128,"2016"
"7/13/2016",-0.002281221,0.0308906,0.020782123,-0.000139733,0.000410247,0.010169492,-0.029742234,0.000443117,"2016"
"7/14/2016",-0.001454989,-0.000460953,0.005910683,0.005583463,0.00861384,0.016778523,0.042915531,0.002895255,"2016"
"7/15/2016",0.005203997,-0.006272493,0,-0.001341653,-0.003253414,-0.01650165,0.041149575,0.000999553,"2016"
"7/18/2016",-0.000207124,0.006404855,-0.028291621,0.002687222,0.002447707,-0.033557047,-0.004391468,-0.00476407,"2016"
"7/19/2016",0.005074617,-0.014941847,0.006494961,-0.001016632,-0.006104843,0.076388889,-0.018273472,0.001694541,"2016"
"7/20/2016",0.001545533,-0.05926968,-0.004227859,0.004162974,0.006961675,0.016129032,0.014120668,-0.005264693,"2016"
"7/21/2016",-0.002057582,0.035532995,-0.012513966,-0.003777385,-0.002033495,-0.038095238,-0.009493671,0.000540242,"2016"
"7/22/2016",0.004845371,-0.002883535,0,0.004485413,0.0004075,0,0.003194888,0.0012133,"2016"
"7/25/2016",-0.001846722,-0.037112002,-0.028739534,-0.002716179,-0.00162924,-0.01650165,0.000636943,-0.005660343,"2016"
"7/26/2016",-0.00133618,0.031134258,-0.023299161,0.000461659,0.003671937,0.033557047,-0.005092298,0.001889622,"2016"
"7/27/2016",-0.001132163,0.044563068,-0.01860687,-0.001061077,0.004065056,-0.081168831,-0.030710173,-0.000307519,"2016"
"7/28/2016",-0.003194281,0.0013942,0.011181332,0.001154524,0,-0.222614841,-0.002640264,0.007795919,"2016"
"7/29/2016",-0.012507743,0.023575284,0,0.001614754,0.010121542,0.090909091,-0.035076109,0.000986142,"2016"
"8/1/2016",0.001884225,0.012060229,-0.050240385,-0.000828939,-0.004409019,-0.008333333,0.0260631,0.007550264,"2016"
"8/2/2016",-0.006791359,0.011199713,0.033409263,-0.006407475,-0.004428451,0.176470588,0.027406417,0,"2016"
"8/3/2016",0.005259836,-0.008240307,0.026940975,0.002922721,-0.004043828,-0.042857143,0.00325309,0.004565695,"2016"
"8/4/2016",0.002092968,0.008040758,-0.003100405,0.001064105,0.005278466,-0.074626866,-0.025291829,-0.006021895,"2016"
"8/5/2016",0.004490393,-0.028538518,0,0.00817877,0.006461874,0.008064516,0.052561544,-0.001502937,"2016"
"8/8/2016",0.002183179,0.007116121,0.023205742,-0.000595696,0.003210239,0,0.000632111,-0.004058469,"2016"
"8/9/2016",-0.002282178,0.006431733,-0.024783727,0.000596051,0.008000216,0.172,-0.024005054,-0.000532032,"2016"
"8/10/2016",-0.00551048,0.014671512,0.042675617,-0.002475034,0.002380916,-0.068259386,-0.023300971,0.002900669,"2016"
"8/11/2016",0.002195494,-0.003903149,0.022993792,0.004640725,0.006333921,0.007326007,0.042412194,0.006354019,"2016"
"8/12/2016",-0.001460463,-0.004987069,0,-0.000868773,-0.000786422,-0.043636364,-0.036872219,-0.004232807,"2016"
"8/15/2016",-0.000940284,-0.002327056,0.047,0.002883637,0.004330543,0.045627376,0.025082508,0.002502002,"2016"
"8/16/2016",-0.008783813,-0.005741446,0.004508373,-0.005157766,-0.001568245,0.047272727,0.014810045,0.0015322,"2016"
"8/17/2016",-0.000738475,-0.014346332,0.030562086,0.001881078,-0.001177499,0,-0.009517766,0.008219734,"2016"
